Sector,Industry,Industry Name,Companies,Establishments,Employees,Revenue,Payroll,Productivity,Avg Salary,Avg. Hr Rate
21,211120,Crude petroleum extraction,"4,669","5,386","88,189","145,866,649,000","8,990,096,000",1620%,"101,941",50.97
21,211130,Natural gas extraction,551,"1,023","36,940","83,867,601,000","3,634,834,000",2310%,"98,398",49.2
21,213112,Support activities for oil and gas operations,"8,365","10,156","221,148","64,456,806,000","16,480,461,000",390%,"74,522",37.26
21,213111,Drilling oil and gas wells,"1,649","2,459","70,405","19,041,050,000","5,759,705,000",330%,"81,808",40.9
21,212112,Bituminous coal underground mining,108,228,"27,906","14,932,604,000","2,313,009,000",650%,"82,886",41.44
21,212230,"Copper, nickel, lead, and zinc mining",38,61,"13,584","12,633,821,000","979,150,000",1290%,"72,081",36.04
21,212111,Bituminous coal and lignite surface mining,201,344,"19,738","11,819,488,000","1,608,984,000",730%,"81,517",40.76
21,212221,Gold ore mining,133,148,"13,560","9,569,166,000","1,281,336,000",750%,"94,494",47.25
21,212312,Crushed and broken limestone mining and quarrying,566,"1,413","28,665","8,988,284,000","1,569,852,000",570%,"54,765",27.38
21,212321,Construction sand and gravel mining,"1,337","1,931","20,734","6,286,165,000","1,173,830,000",540%,"56,614",28.31
21,212210,Iron ore mining,11,18,"4,956","3,463,017,000","412,522,000",840%,"83,237",41.62
21,212322,Industrial sand mining,101,173,"6,199","2,552,692,000","382,844,000",670%,"61,759",30.88
21,212313,Crushed and broken granite mining and quarrying,89,282,"5,618","2,356,076,000","319,111,000",740%,"56,802",28.4
21,212319,Other crushed and broken stone mining and quarrying,270,369,"7,129","2,336,479,000","401,020,000",580%,"56,252",28.13
21,212391,"Potash, soda, and borate mineral mining",14,16,"2,799","2,144,809,000","243,125,000",880%,"86,861",43.43
21,212392,Phosphate rock mining,5,9,"1,789","1,582,289,000","131,534,000",1200%,"73,524",36.76
21,213114,Support activities for metal mining,147,200,"4,830","1,199,864,000","354,081,000",340%,"73,309",36.65
21,213113,Support activities for coal mining,186,224,"3,865","1,067,765,000","246,808,000",430%,"63,857",31.93
21,212325,Clay and ceramic and refractory minerals mining,60,84,"2,311","875,384,000","130,891,000",670%,"56,638",28.32
21,212324,Kaolin and ball clay mining,17,28,"2,138","846,215,000","134,789,000",630%,"63,044",31.52
21,213115,Support activities for nonmetallic minerals (except fuels) mining,194,207,"2,854","796,907,000","158,900,000",500%,"55,676",27.84
21,212399,All other nonmetallic mineral mining,111,136,"2,446","775,086,000","144,662,000",540%,"59,142",29.57
21,212393,Other chemical and fertilizer mineral mining,30,36,"2,507","757,713,000","144,653,000",520%,"57,700",28.85
